iter	Passed	Remaining
0	103	103336
1	107	53642
2	112	37267
3	116	28971
4	120	23982
5	124	20640
6	129	18309
7	133	16579
8	138	15210
9	142	14139
10	147	13226
11	152	12520
12	157	11936
13	161	11404
14	166	10936
15	175	10779
16	179	10370
17	182	9932
18	185	9553
19	187	9184
20	189	8842
21	191	8527
22	194	8241
23	195	7956
24	197	7695
25	198	7453
26	200	7227
27	202	7020
28	203	6819
29	205	6632
30	206	6454
31	207	6285
32	209	6128
33	210	5976
34	211	5832
35	212	5696
36	213	5564
37	214	5442
38	216	5325
39	217	5216
40	218	5109
41	219	5008
42	220	4909
43	221	4816
44	222	4727
45	223	4639
46	224	4556
47	226	4482
48	227	4406
49	228	4332
50	228	4260
51	230	4193
52	230	4126
53	231	4062
54	232	3999
55	233	3940
56	234	3881
57	235	3825
58	236	3770
59	237	3718
60	238	3667
61	239	3618
62	240	3570
63	240	3523
64	241	3477
65	242	3433
66	243	3392
67	244	3350
68	245	3311
69	246	3273
70	247	3235
71	248	3199
72	249	3163
73	250	3128
74	250	3095
75	251	3063
76	252	3030
77	253	2999
78	254	2968
79	255	2938
80	256	2908
81	257	2882
82	257	2849
83	258	2823
84	260	2800
85	261	2774
86	261	2748
87	262	2725
88	263	2701
89	264	2677
90	265	2654
91	266	2631
92	267	2610
93	268	2588
94	269	2566
95	270	2545
96	271	2524
97	272	2504
98	272	2484
99	273	2465
100	274	2446
101	275	2427
102	276	2409
103	277	2391
104	278	2373
105	279	2355
106	280	2338
107	281	2322
108	282	2305
109	283	2290
110	283	2274
111	284	2259
112	285	2243
113	286	2229
114	287	2214
115	288	2199
116	289	2183
117	290	2169
118	291	2155
119	292	2141
120	292	2128
121	293	2114
122	294	2102
123	295	2090
124	296	2077
125	297	2065
126	298	2053
127	299	2041
128	300	2029
129	302	2025
130	303	2014
131	304	2003
132	305	1992
133	306	1980
134	307	1969
135	308	1958
136	309	1947
137	310	1937
138	311	1927
139	312	1917
140	313	1906
141	313	1895
142	314	1884
143	315	1875
144	316	1865
145	317	1856
146	318	1847
147	319	1837
148	320	1828
149	321	1819
150	322	1811
151	323	1802
152	323	1793
153	324	1784
154	325	1775
155	326	1767
156	327	1758
157	328	1750
158	329	1742
159	330	1734
160	331	1724
161	331	1717
162	332	1709
163	333	1701
164	334	1693
165	335	1685
166	336	1677
167	337	1670
168	338	1663
169	339	1656
170	340	1648
171	341	1641
172	342	1635
173	342	1627
174	343	1620
175	344	1613
176	345	1606
177	346	1600
178	347	1593
179	348	1587
180	349	1580
181	350	1574
182	351	1567
183	352	1561
184	352	1554
185	353	1548
186	354	1542
187	355	1536
188	356	1530
189	357	1524
190	358	1518
191	359	1512
192	360	1506
193	361	1500
194	362	1495
195	363	1489
196	364	1483
197	365	1478
198	365	1472
199	366	1467
200	367	1461
201	368	1456
202	369	1450
203	370	1445
204	371	1440
205	372	1434
206	373	1429
207	374	1424
208	375	1419
209	375	1414
210	376	1409
211	377	1404
212	378	1399
213	379	1394
214	380	1389
215	381	1384
216	382	1379
217	383	1374
218	384	1369
219	385	1365
220	385	1360
221	386	1356
222	387	1351
223	388	1346
224	389	1341
225	390	1337
226	391	1332
227	392	1328
228	393	1324
229	394	1319
230	395	1315
231	396	1310
232	396	1306
233	397	1302
234	398	1298
235	399	1294
236	400	1290
237	401	1285
238	402	1281
239	403	1277
240	404	1273
241	405	1269
242	406	1265
243	406	1260
244	407	1257
245	408	1253
246	409	1248
247	410	1244
248	411	1240
249	412	1237
250	413	1233
251	414	1229
252	415	1225
253	415	1221
254	416	1217
255	417	1213
256	418	1210
257	419	1206
258	420	1203
259	421	1199
260	422	1195
261	423	1192
262	424	1188
263	425	1185
264	425	1181
265	426	1177
266	427	1174
267	428	1170
268	429	1167
269	430	1163
270	431	1160
271	432	1157
272	433	1153
273	434	1150
274	435	1146
275	435	1143
276	436	1140
277	437	1137
278	438	1134
279	439	1131
280	440	1127
281	441	1124
282	442	1121
283	443	1118
284	444	1115
285	445	1112
286	446	1109
287	447	1106
288	448	1103
289	449	1100
290	450	1097
291	451	1093
292	452	1090
293	453	1087
294	454	1085
295	455	1082
296	455	1079
297	456	1076
298	457	1073
299	458	1070
300	459	1067
301	460	1064
302	461	1061
303	462	1058
304	463	1055
305	464	1052
306	465	1049
307	466	1047
308	466	1044
309	467	1041
310	468	1038
311	469	1035
312	470	1032
313	471	1029
314	472	1026
315	473	1024
316	474	1021
317	475	1018
318	475	1015
319	476	1013
320	477	1010
321	478	1008
322	479	1005
323	480	1002
324	481	1000
325	482	997
326	483	995
327	484	992
328	485	990
329	486	987
330	487	984
331	488	982
332	489	979
333	489	976
334	490	974
335	491	971
336	492	969
337	493	966
338	494	964
339	495	961
340	496	959
341	497	956
342	498	953
343	498	951
344	499	948
345	500	946
346	501	943
347	502	941
348	503	938
349	504	936
350	505	933
351	505	931
352	507	929
353	507	926
354	508	924
355	509	922
356	510	919
357	511	917
358	512	914
359	513	912
360	514	910
361	515	907
362	516	905
363	516	903
364	517	900
365	518	898
366	519	896
367	520	893
368	521	891
369	522	889
370	523	887
371	524	885
372	525	882
373	526	880
374	527	878
375	527	876
376	528	873
377	529	871
378	530	869
379	531	867
380	532	864
381	533	862
382	534	860
383	535	858
384	535	856
385	536	854
386	537	851
387	538	849
388	539	847
389	540	845
390	541	843
391	542	841
392	543	839
393	544	836
394	545	834
395	545	832
396	546	830
397	547	828
398	548	826
399	549	824
400	550	822
401	551	820
402	552	818
403	553	816
404	554	814
405	555	812
406	556	810
407	556	808
408	557	805
409	558	803
410	559	801
411	560	799
412	561	797
413	562	795
414	563	793
415	563	791
416	564	789
417	565	787
418	566	785
419	567	783
420	568	781
421	569	779
422	570	777
423	571	775
424	571	773
425	572	771
426	573	769
427	574	767
428	575	766
429	576	764
430	577	762
431	578	760
432	579	758
433	580	756
434	581	754
435	582	752
436	582	751
437	583	749
438	584	747
439	585	745
440	586	743
441	587	741
442	588	739
443	589	737
444	590	736
445	591	734
446	592	732
447	593	730
448	593	728
449	594	727
450	595	725
451	596	723
452	597	721
453	598	719
454	599	717
455	600	716
456	601	714
457	602	712
458	603	710
459	604	709
460	604	707
461	605	705
462	606	703
463	607	701
464	608	700
465	609	698
466	610	696
467	611	695
468	612	693
469	613	692
470	614	690
471	615	688
472	616	686
473	617	684
474	618	683
475	618	681
476	619	679
477	620	677
478	621	676
479	622	674
480	623	673
481	624	671
482	625	669
483	626	668
484	627	666
485	628	664
486	629	662
487	630	661
488	630	659
489	631	657
490	632	655
491	633	654
492	634	652
493	635	650
494	636	649
495	637	647
496	637	645
497	638	644
498	639	642
499	640	640
500	641	639
501	642	637
502	643	636
503	644	634
504	645	632
505	646	631
506	647	629
507	648	627
508	649	626
509	650	624
510	651	622
511	651	621
512	652	619
513	653	617
514	654	616
515	655	614
516	656	613
517	657	611
518	658	609
519	659	608
520	659	606
521	660	605
522	661	603
523	662	601
524	663	600
525	664	598
526	665	596
527	666	595
528	666	593
529	667	592
530	668	590
531	669	589
532	670	587
533	671	586
534	672	584
535	673	583
536	674	581
537	675	579
538	676	578
539	677	576
540	677	575
541	678	573
542	679	572
543	680	570
544	681	569
545	682	567
546	683	566
547	684	564
548	685	562
549	686	561
550	687	559
551	687	558
552	688	556
553	689	555
554	690	553
555	691	552
556	692	550
557	693	549
558	694	547
559	695	546
560	696	544
561	697	543
562	697	541
563	698	540
564	699	538
565	700	537
566	701	535
567	702	534
568	703	532
569	704	531
570	705	529
571	706	528
572	707	527
573	708	525
574	709	524
575	710	522
576	711	521
577	712	519
578	713	518
579	714	517
580	715	515
581	716	514
582	717	512
583	717	511
584	718	510
585	719	508
586	720	507
587	721	505
588	722	504
589	723	502
590	724	501
591	725	499
592	726	498
593	727	496
594	728	495
595	728	494
596	729	492
597	730	491
598	731	489
599	732	488
600	733	486
601	734	485
602	735	484
603	736	482
604	736	481
605	737	479
606	738	478
607	739	476
608	740	475
609	741	473
610	742	472
611	743	471
612	744	469
613	745	468
614	746	467
615	747	465
616	748	464
617	748	462
618	749	461
619	750	460
620	751	458
621	752	457
622	753	455
623	754	454
624	755	453
625	756	451
626	756	450
627	757	448
628	758	447
629	759	446
630	760	444
631	761	443
632	762	441
633	763	440
634	764	439
635	764	437
636	765	436
637	766	435
638	767	433
639	768	432
640	769	431
641	770	429
642	771	428
643	772	427
644	773	425
645	774	424
646	775	423
647	776	421
648	777	420
649	778	419
650	779	417
651	779	416
652	780	414
653	781	413
654	782	412
655	783	411
656	784	409
657	785	408
658	786	407
659	787	405
660	788	404
661	789	403
662	790	401
663	791	400
664	792	399
665	793	397
666	794	396
667	795	395
668	795	393
669	796	392
670	797	391
671	798	389
672	799	388
673	800	387
674	801	385
675	802	384
676	803	383
677	804	381
678	805	380
679	805	379
680	806	377
681	807	376
682	808	375
683	809	374
684	810	372
685	811	371
686	812	370
687	813	368
688	814	367
689	815	366
690	816	365
691	817	363
692	818	362
693	819	361
694	820	360
695	821	358
696	822	357
697	823	356
698	824	354
699	825	353
700	826	352
701	826	350
702	827	349
703	828	348
704	829	347
705	831	346
706	832	344
707	833	343
708	834	342
709	835	341
710	836	339
711	837	338
712	838	337
713	838	336
714	839	334
715	840	333
716	841	332
717	842	331
718	843	329
719	844	328
720	845	327
721	846	325
722	847	324
723	848	323
724	849	322
725	850	320
726	851	319
727	852	318
728	853	317
729	854	315
730	855	314
731	856	313
732	856	312
733	857	310
734	858	309
735	859	308
736	860	307
737	861	305
738	862	304
739	863	303
740	864	302
741	865	300
742	866	299
743	867	298
744	868	297
745	869	295
746	869	294
747	870	293
748	871	292
749	872	290
750	873	289
751	874	288
752	875	287
753	876	286
754	877	284
755	878	283
756	879	282
757	880	281
758	881	279
759	882	278
760	883	277
761	884	276
762	885	274
763	886	273
764	887	272
765	887	271
766	888	270
767	889	268
768	890	267
769	891	266
770	892	265
771	893	263
772	894	262
773	895	261
774	896	260
775	897	258
776	897	257
777	898	256
778	899	255
779	900	254
780	901	252
781	902	251
782	903	250
783	904	249
784	905	247
785	906	246
786	906	245
787	907	244
788	908	243
789	909	241
790	910	240
791	911	239
792	912	238
793	913	236
794	914	235
795	915	234
796	916	233
797	917	232
798	918	230
799	919	229
800	920	228
801	920	227
802	921	226
803	922	224
804	923	223
805	924	222
806	925	221
807	926	220
808	927	218
809	928	217
810	929	216
811	929	215
812	930	214
813	931	212
814	932	211
815	933	210
816	934	209
817	935	208
818	936	206
819	937	205
820	938	204
821	939	203
822	940	202
823	941	201
824	942	199
825	943	198
826	943	197
827	944	196
828	945	195
829	946	193
830	947	192
831	948	191
832	949	190
833	950	189
834	951	188
835	952	186
836	953	185
837	954	184
838	955	183
839	956	182
840	957	180
841	957	179
842	958	178
843	959	177
844	960	176
845	961	175
846	962	173
847	963	172
848	964	171
849	965	170
850	966	169
851	967	168
852	968	166
853	969	165
854	969	164
855	970	163
856	971	162
857	972	160
858	973	159
859	974	158
860	975	157
861	976	156
862	977	155
863	978	154
864	979	152
865	980	151
866	981	150
867	982	149
868	982	148
869	983	147
870	984	145
871	985	144
872	986	143
873	987	142
874	988	141
875	989	140
876	990	138
877	991	137
878	992	136
879	993	135
880	994	134
881	995	133
882	996	131
883	997	130
884	997	129
885	998	128
886	999	127
887	1000	126
888	1001	125
889	1002	123
890	1003	122
891	1004	121
892	1005	120
893	1006	119
894	1007	118
895	1008	117
896	1009	115
897	1010	114
898	1011	113
899	1012	112
900	1012	111
901	1013	110
902	1014	109
903	1015	107
904	1016	106
905	1017	105
906	1018	104
907	1019	103
908	1020	102
909	1021	100
910	1022	99
911	1022	98
912	1023	97
913	1024	96
914	1025	95
915	1026	94
916	1027	93
917	1028	91
918	1029	90
919	1030	89
920	1030	88
921	1031	87
922	1032	86
923	1033	85
924	1034	83
925	1035	82
926	1036	81
927	1037	80
928	1038	79
929	1039	78
930	1040	77
931	1041	75
932	1042	74
933	1043	73
934	1043	72
935	1044	71
936	1045	70
937	1046	69
938	1047	68
939	1048	66
940	1049	65
941	1050	64
942	1051	63
943	1052	62
944	1053	61
945	1054	60
946	1055	59
947	1056	57
948	1057	56
949	1057	55
950	1058	54
951	1059	53
952	1060	52
953	1061	51
954	1062	50
955	1063	48
956	1064	47
957	1065	46
958	1066	45
959	1067	44
960	1068	43
961	1069	42
962	1070	41
963	1070	39
964	1071	38
965	1072	37
966	1073	36
967	1074	35
968	1075	34
969	1076	33
970	1077	32
971	1078	31
972	1079	29
973	1080	28
974	1080	27
975	1081	26
976	1082	25
977	1083	24
978	1084	23
979	1085	22
980	1086	21
981	1087	19
982	1088	18
983	1089	17
984	1090	16
985	1091	15
986	1092	14
987	1093	13
988	1093	12
989	1094	11
990	1095	9
991	1096	8
992	1097	7
993	1098	6
994	1099	5
995	1100	4
996	1101	3
997	1102	2
998	1103	1
999	1104	0
